;Arpes occ;Arpes tot
-11.203125;4.19332016878841E-08;8.49441340099062E-08
-11.20078125;4.4275318816961E-08;8.99994080018394E-08
-11.1984375;4.6808861378379E-08;9.5349744548829E-08
-11.19609375;4.95326995359825E-08;1.00992545938492E-07
-11.19375;5.24456064138835E-08;1.06925061205022E-07
-11.19140625;5.55462472112555E-08;1.13144380906243E-07
-11.1890625;5.88331899592202E-08;1.19647443007423E-07
-11.18671875;6.23049019421719E-08;1.26431032597009E-07
-11.184375;6.59597458254209E-08;1.33491781387026E-07
-11.18203125;6.97959910157483E-08;1.40826174279525E-07
-11.1796875;7.38118024960026E-08;1.48430543912697E-07
-11.17734375;7.80052530822617E-08;1.56301083547961E-07
-11.175;8.23743158480706E-08;1.64433836784838E-07
-11.17265625;8.69168688162618E-08;1.72824707674698E-07
-11.1703125;9.16306955236123E-08;1.81469459477749E-07
-11.16796875;9.65134871088927E-08;1.9036371894498E-07
-11.165625;1.01562841599621E-07;1.99502976677057E-07
-11.16328125;1.06776264941472E-07;2.08882589183533E-07
-11.1609375;1.12151177238923E-07;2.18497786127521E-07
-11.15859375;1.17684903936536E-07;2.28343661934644E-07
-11.15625;1.23374689644014E-07;2.38415192238363E-07
-11.15390625;1.29217689678045E-07;2.48707226209003E-07
-11.1515625;1.35210974878202E-07;2.59214492002681E-07
-11.14921875;1.41351536342962E-07;2.69931603047805E-07
-11.146875;0.0000001476362813719;2.8085305489321E-07
-11.14453125;1.54062038412572E-07;2.91973232972632E-07
-11.1421875;1.60625557039935E-07;3.03286410448717E-07
-11.13984375;1.67323514071741E-07;3.14786760734358E-07
-11.1375;1.74152506338576E-07;3.26468347383787E-07
-11.13515625;1.81109063611741E-07;3.38325138096882E-07
-11.1328125;1.88189638967582E-07;3.50351001237072E-07
-11.13046875;1.95390620717285E-07;3.62539713630024E-07
-11.128125;2.02708329981174E-07;3.74884962158532E-07
-11.12578125;2.1013901799872E-07;3.87380344117033E-07
-11.1234375;2.17678878553822E-07;4.0001937586536E-07
-11.12109375;2.25324038050741E-07;4.12795489310534E-07
-11.11875;2.33070569291833E-07;4.25702046669003E-07
-11.11640625;2.40914483769953E-07;4.38732329917651E-07
-11.1140625;2.48851739279178E-07;4.51879555296415E-07
-11.11171875;2.56878239590486E-07;4.65136870451703E-07
-11.109375;2.6498983900314E-07;4.78497362567649E-07
-11.10703125;2.73182342288664E-07;4.91954059094388E-07
-11.1046875;2.81451506266879E-07;5.05499931147735E-07
-11.10234375;2.89793047584443E-07;5.19127902304583E-07
-11.1;2.98202634247421E-07;5.32830840940539E-07
-11.09765625;3.06675901035632E-07;5.46601578840175E-07
-11.0953125;3.15208441367334E-07;5.6043290382516E-07
-11.09296875;3.23795813656286E-07;5.74317567353998E-07
-11.090625;3.32433546206593E-07;5.88248291011015E-07
-11.08828125;3.41117134073431E-07;6.02217764068875E-07
-11.0859375;3.49842045533512E-07;6.16218654222983E-07
-11.08359375;3.58603721573787E-07;6.30243603636967E-07
-11.08125;3.67397584202993E-07;6.44285244802524E-07
-11.07890625;3.76219028723899E-07;6.58336190129494E-07
-11.0765625;3.85063437798094E-07;6.72389046563833E-07
-11.07421875;3.93926172853861E-07;6.8643641360526E-07
-11.071875;4.02802585947735E-07;7.00470891751513E-07
-11.06953125;4.11688018350145E-07;7.14485084245698E-07
-11.0671875;4.20577798705497E-07;7.28471598575479E-07
-11.06484375;4.29467254924774E-07;7.42423055003902E-07
-11.0625;4.38351706029984E-07;7.56332084499839E-07
-11.06015625;4.47226475834539E-07;7.70191343806785E-07
-11.0578125;4.56086885337246E-07;7.83993504184838E-07
-11.05546875;4.6492826164342E-07;7.97731268257714E-07
-11.053125;4.73745936996219E-07;8.11397365561152E-07
-11.05078125;4.82535254610355E-07;8.24984562213354E-07
-11.0484375;4.91291568424185E-07;8.38485661844118E-07
-11.04609375;5.00010244850554E-07;8.51893507945984E-07
-11.04375;5.08686671164935E-07;8.65200994039861E-07
-11.04140625;5.17316247116193E-07;8.78401055209538E-07
-11.0390625;5.25894400726498E-07;8.91486689801445E-07
-11.03671875;5.3441657964071E-07;9.04450944937652E-07
-11.034375;5.42878258603048E-07;9.17286931940574E-07
-11.03203125;5.51274943876957E-07;9.29987828352663E-07
-11.0296875;5.59602169829697E-07;9.42546875866534E-07
-11.02734375;5.67855506376561E-07;9.54957391900754E-07
-11.025;5.76030557498022E-07;9.67212763877754E-07
-11.02265625;5.84122970038459E-07;9.79306465926762E-07
-11.0203125;5.9212842620026E-07;9.91232047985604E-07
-11.01796875;6.00042656439875E-07;1.00298314903426E-06
-11.015625;6.0786143196069E-07;0.0000010145534954117
-11.01328125;6.15580575684199E-07;1.02593690878828E-06
-11.0109375;6.23195960605248E-07;1.03712730720475E-06
-11.00859375;6.30703508391295E-07;1.04811870544327E-06
-11.00625;6.38099199935884E-07;1.05890522297059E-06
-11.00390625;6.45379068024424E-07;1.06948108231085E-06
-11.0015625;6.52539210031812E-07;1.07984062176111E-06
-10.99921875;6.59575779730876E-07;1.08997828370828E-06
-10.996875;6.66484996683348E-07;1.09988863135681E-06
-10.99453125;6.73263143760136E-07;1.10956634222681E-06
-10.9921875;6.79906573723015E-07;1.11900621809115E-06
-10.98984375;6.86411707327724E-07;1.12820318371527E-06
-10.9875;6.9277503545782E-07;1.13715228867015E-06
-10.98515625;6.98993126039778E-07;1.14584871607397E-06
-10.9828125;7.05062615956378E-07;1.15428777348297E-06
-10.98046875;7.10980225983073E-07;1.16246491328556E-06
-10.978125;7.16742750780796E-07;1.17037571558875E-06
-10.97578125;7.22347067079432E-07;1.17801590522884E-06
-10.9734375;7.27790136107142E-07;1.18538134954427E-06
-10.97109375;7.33068999786291E-07;1.19246805621821E-06
-10.96875;7.38180788196599E-07;1.19927218387257E-06
-10.96640625;7.43122715913958E-07;1.20579003338346E-06
-10.9640625;7.47892091199531E-07;1.21201806464495E-06
-10.96171875;7.52486307236469E-07;1.21795288364124E-06
-10.959375;7.56902853496895E-07;1.22359125308498E-06
-10.95703125;7.61139308772021E-07;1.22893009072441E-06
-10.9546875;7.65193349800513E-07;1.23396647473952E-06
-10.95234375;7.69062749246067E-07;0.0000012386976429164
-10.95;7.72745373960897E-07;1.24312099217961E-06
-10.94765625;7.76239192800658E-07;1.24723408328215E-06
-10.9453125;7.79542270345972E-07;1.25103463919341E-06
-10.94296875;7.82652777081697E-07;1.25452055481997E-06
-10.940625;7.85568980532693E-07;1.25768988307505E-06
-10.93828125;7.88289254024384E-07;1.26054085149984E-06
-10.9359375;7.90812072247376E-07;1.26307185183265E-06
-10.93359375;7.93136017249018E-07;1.26528144900444E-06
-10.93125;7.95259775598486E-07;1.26716837844922E-06
-10.92890625;7.97182138571877E-07;1.26873154437037E-06
-10.9265625;7.98902008370781E-07;1.26997002752325E-06
-10.92421875;8.00418388986874E-07;1.27088307438279E-06
-10.921875;8.01730399375937E-07;1.27147011429763E-06
-10.91953125;8.0283726243163E-07;1.27173074114306E-06
-10.9171875;8.03738312197798E-07;1.27166472804978E-06
-10.91484375;8.04432994576693E-07;1.27127202309271E-06
-10.9125;8.04920862284713E-07;1.27055274455769E-06
-10.91015625;8.05201581252913E-07;1.26950719004479E-06
-10.9078125;8.05274925400823E-07;1.26813582487829E-06
-10.90546875;8.05140784226258E-07;1.26643929704147E-06
-10.903125;8.04799153791324E-07;1.26441842244095E-06
-10.90078125;8.04250144715115E-07;1.26207419222655E-06
-10.8984375;8.03493976267537E-07;1.25940776998524E-06
-10.89609375;8.02530981485304E-07;1.25642049428727E-06
-10.89375;8.01361604645687E-07;0.0000012531138756916
-10.89140625;7.99986398665384E-07;1.24948959411764E-06
-10.8890625;7.98406030163315E-07;1.24554950082389E-06
-10.88671875;7.96621272966003E-07;1.24129561552295E-06
-10.884375;7.94633016124879E-07;1.23673013259151E-06
-10.88203125;7.92442253694859E-07;0.0000012318554054242
-10.8796875;7.90050092630644E-07;1.22667396126319E-06
-10.87734375;7.87457746042248E-07;1.22118848754924E-06
